      spec     ebeam        ep    thetac        xb        q2        w2      xsec      perr      stat      gerr   density       cer       kin       csb       acc       rad      live      pion
   1.00000  10.60200   3.90902  21.03500   0.43978   5.52347   7.91656   0.77820   0.01630   0.01537   0.01341   0.01100   0.00100   0.00059   0.00001   0.00021   0.00500   0.00386   0.00140
   1.00000  10.60200   3.94146  21.03500   0.44559   5.56931   7.80985   0.78614   0.01671   0.01580   0.01341   0.01100   0.00100   0.00057   0.00001   0.00021   0.00500   0.00386   0.00140
   1.00000  10.60200   3.55846  21.03500   0.38041   5.02813   9.06975   0.80687   0.00842   0.00641   0.01291   0.01100   0.00100   0.00047   0.00003   0.00017   0.00501   0.00287   0.00140
   1.00000  10.60200   3.59778  21.03500   0.38678   5.08369   8.94040   0.80103   0.00853   0.00651   0.01291   0.01100   0.00100   0.00048   0.00002   0.00018   0.00501   0.00287   0.00140
   1.00000  10.60200   3.63710  21.03500   0.39321   5.13924   8.81106   0.80338   0.00856   0.00658   0.01291   0.01100   0.00100   0.00053   0.00002   0.00018   0.00501   0.00287   0.00140
   1.00000  10.60200   3.67642  21.03500   0.39972   5.19480   8.68171   0.79925   0.00863   0.00668   0.01291   0.01100   0.00100   0.00054   0.00002   0.00018   0.00501   0.00287   0.00140
   1.00000  10.60200   3.71574  21.03500   0.40630   5.25036   8.55237   0.79701   0.00869   0.00676   0.01291   0.01100   0.00100   0.00053   0.00002   0.00019   0.00501   0.00287   0.00140
   1.00000  10.60200   3.75506  21.03500   0.41296   5.30592   8.42302   0.79169   0.00876   0.00685   0.01291   0.01100   0.00100   0.00053   0.00002   0.00019   0.00501   0.00287   0.00140
   1.00000  10.60200   3.79438  21.03500   0.41969   5.36148   8.29368   0.79358   0.00879   0.00693   0.01291   0.01100   0.00100   0.00053   0.00001   0.00019   0.00501   0.00287   0.00140
   1.00000  10.60200   3.83370  21.03500   0.42651   5.41704   8.16433   0.79683   0.00892   0.00706   0.01291   0.01100   0.00100   0.00059   0.00001   0.00020   0.00501   0.00287   0.00140
